itemset,support_count,support
tomatoes,597,0.14925
onion,584,0.146
napkins,574,0.1435
oranges,569,0.14225
potatoes,569,0.14225
salt,568,0.142
soap,567,0.14175
coffee,566,0.1415
milk,563,0.14075
pencil,556,0.139
rice,553,0.13825
bananas,552,0.138
eggs,549,0.13725
cookies,547,0.13675
peanut butter,546,0.1365
toothpaste,546,0.1365
shampoo,546,0.1365
cakes,545,0.13625
butter,545,0.13625
yogurt,535,0.13375
kiwi,533,0.13325
olive oil,533,0.13325
chocolate,532,0.133
detergent,532,0.133
cereal,531,0.13275
sugar,531,0.13275
juice,530,0.1325
flour,526,0.1315
apples,521,0.13025
pens,520,0.13
bread,517,0.12925
grapes,514,0.1285
tea,513,0.12825
