transaction_id,items
1,cookies;grapes;chocolate;milk;olive oil;shampoo;oranges
2,kiwi;tomatoes;peanut butter;cereal;grapes;apples;bananas
3,flour;olive oil;grapes
4,onion;pens;cookies;flour;peanut butter;milk
5,yogurt;pencil
6,butter;potatoes;cereal;coffee
7,tomatoes;eggs
8,tea;bread
9,toothpaste;cookies
10,tomatoes;peanut butter;chocolate;onion;oranges
11,flour;peanut butter
12,flour;kiwi
13,butter;toothpaste;chocolate;yogurt;tea
14,butter;oranges;yogurt
15,cakes;yogurt;flour;onion;milk;salt
16,flour;salt;pens;eggs;toothpaste;grapes;cookies
17,salt;soap
18,oranges;cereal;salt;napkins
19,toothpaste;potatoes;bread;milk;cakes
20,bread;pencil;shampoo;peanut butter;onion;rice;cookies
21,olive oil;napkins;tomatoes
22,cookies;potatoes
23,yogurt;pencil;sugar;bananas;onion;shampoo;detergent
24,bread;apples;cookies;butter;coffee
25,peanut butter;pencil
26,toothpaste;apples;bread
27,rice;kiwi;pencil;salt;potatoes;pens
28,olive oil;onion;oranges;rice;eggs;tomatoes;butter
29,apples;salt;cakes;olive oil;juice;rice
30,cakes;juice;tomatoes;napkins
31,milk;detergent
32,yogurt;bread;napkins;pencil;sugar;cereal
33,onion;sugar;soap
34,chocolate;shampoo;napkins;bread;flour;juice;cookies
35,oranges;coffee;grapes
36,flour;olive oil;apples;bananas;tea;salt
37,flour;oranges
38,coffee;oranges
39,cakes;butter;coffee;olive oil;kiwi;napkins
40,detergent;cakes;pens
41,kiwi;pencil;tea
42,pens;toothpaste;juice;kiwi;soap
43,coffee;kiwi;cookies;napkins;toothpaste;butter;flour
44,pencil;rice;butter
45,cakes;oranges;shampoo;kiwi;juice
46,apples;tomatoes;toothpaste;eggs;pencil;cookies;napkins
47,napkins;detergent;cereal;soap;juice
48,eggs;apples;bread
49,peanut butter;pencil;napkins;potatoes;onion
50,cereal;juice;salt;detergent
51,yogurt;juice;detergent;bread;bananas;pencil
52,oranges;cakes;soap
53,cakes;bananas
54,tomatoes;pens;coffee;peanut butter;toothpaste;bread
55,bread;cereal;salt;cakes
56,soap;milk;sugar;toothpaste
57,oranges;apples;toothpaste;kiwi
58,cereal;olive oil
59,milk;tea;oranges;cakes
60,peanut butter;yogurt;shampoo;sugar
61,apples;sugar;toothpaste;coffee;juice;oranges
62,cookies;kiwi;potatoes;butter
63,cereal;coffee;bread;olive oil
64,bread;juice;tomatoes;pencil;butter
65,apples;coffee
66,bread;yogurt;shampoo
67,pencil;apples;juice;bananas;shampoo;tea
68,bananas;chocolate;potatoes
69,milk;bananas;sugar;chocolate;tea
70,cakes;kiwi;tea
71,pens;potatoes;toothpaste;detergent;cookies;pencil
72,rice;pens;grapes
73,coffee;pens;cakes
74,yogurt;kiwi;eggs;bananas
75,flour;onion;toothpaste;tea;sugar
76,flour;grapes;onion
77,coffee;butter;oranges;tea;olive oil
78,coffee;grapes;cookies;bread;rice
79,bread;bananas;juice;sugar;cereal;rice
80,salt;pencil;sugar;bread;juice;onion;peanut butter
81,bread;bananas;pencil
82,onion;chocolate
83,oranges;coffee;salt;cookies;sugar
84,sugar;pens;yogurt;onion;tea;potatoes
85,milk;onion;cereal;coffee;napkins;toothpaste
86,rice;sugar;onion;butter;pens;apples;potatoes
87,cereal;pencil;salt;toothpaste
88,shampoo;cereal;olive oil;detergent;yogurt
89,tomatoes;peanut butter;bread;coffee;salt;sugar;yogurt
90,cakes;sugar
91,onion;potatoes;grapes
92,cakes;detergent
93,oranges;toothpaste;cereal;shampoo;salt;peanut butter
94,eggs;napkins;soap
95,potatoes;apples;kiwi
96,flour;rice;toothpaste;juice;cakes
97,toothpaste;milk
98,salt;shampoo;olive oil;pencil;yogurt
99,detergent;shampoo;milk;eggs;cookies;pens;salt
100,napkins;cakes;butter;shampoo
101,peanut butter;cakes
102,coffee;salt;tomatoes;milk
103,flour;eggs;potatoes
104,cereal;oranges;olive oil;detergent;yogurt;butter;flour
105,juice;cereal;pens;eggs;grapes
106,eggs;detergent;apples;rice;potatoes;olive oil
107,pens;flour;napkins;butter;pencil
108,grapes;eggs;coffee;soap;yogurt
109,milk;grapes;soap;tomatoes;pencil
110,toothpaste;rice;juice
111,eggs;salt;cereal;toothpaste
112,coffee;eggs;butter;pens
113,tomatoes;detergent;grapes;juice
114,flour;oranges;bananas;grapes
115,onion;grapes;potatoes
116,milk;detergent;cookies
117,cereal;toothpaste;tea;milk;eggs;rice
118,cookies;yogurt;sugar
119,grapes;sugar
120,eggs;soap;detergent;tea;kiwi;bananas
121,cakes;kiwi;tea;eggs;potatoes;pencil
122,cookies;bananas;rice;butter;cereal;coffee;detergent
123,olive oil;coffee
124,pens;napkins
125,pencil;chocolate
126,toothpaste;potatoes;cereal;tomatoes;chocolate;bread;salt
127,detergent;toothpaste;pencil;butter
128,cakes;tomatoes;butter;shampoo
129,toothpaste;eggs;coffee
130,napkins;salt
131,napkins;cereal;tea
132,coffee;butter;apples;onion
133,cakes;pens
134,cakes;detergent;napkins;shampoo;grapes
135,peanut butter;flour
136,cakes;sugar;chocolate;detergent;tea
137,coffee;tea;toothpaste;butter;sugar
138,flour;cookies;onion;salt
139,rice;onion
140,detergent;butter;peanut butter
141,onion;peanut butter
142,chocolate;rice;sugar
143,milk;butter
144,juice;peanut butter
145,milk;napkins;juice;pencil;apples;peanut butter;potatoes
146,detergent;shampoo;coffee;rice;juice
147,detergent;cookies;oranges;soap
148,oranges;juice;potatoes;sugar;tomatoes
149,cookies;pens;flour
150,eggs;shampoo;toothpaste;flour;potatoes;pencil
151,pencil;sugar;peanut butter;napkins;grapes;toothpaste
152,kiwi;cereal;salt;olive oil;milk;coffee;bananas
153,cakes;rice;oranges
154,apples;pens;shampoo
155,detergent;peanut butter;grapes;cookies;potatoes;tea;shampoo
156,toothpaste;oranges;coffee;cookies;milk;soap;pencil
157,onion;pencil;juice;butter;cookies;salt;oranges
158,potatoes;oranges;juice;yogurt
159,peanut butter;shampoo;cookies;toothpaste
160,sugar;soap;detergent;milk;bread;butter;cakes
161,tomatoes;bananas;pencil;salt;bread
162,tomatoes;flour
163,grapes;butter;peanut butter;olive oil;eggs;shampoo;tomatoes
164,shampoo;butter;rice;pencil;napkins
165,detergent;tea
166,coffee;salt;kiwi;yogurt;pens
167,napkins;peanut butter;coffee;onion;pens;eggs;butter
168,toothpaste;tomatoes
169,bread;salt;cookies;soap
170,apples;toothpaste;cereal;grapes;kiwi;bread
171,napkins;shampoo;juice;cereal
172,milk;peanut butter;shampoo;napkins
173,grapes;cakes
174,yogurt;sugar;butter;apples;detergent;cereal;bananas
175,cookies;toothpaste;potatoes
176,peanut butter;olive oil;butter;pens;detergent
177,cakes;toothpaste;potatoes;eggs;onion
178,olive oil;milk;pencil;bananas;napkins;eggs
179,coffee;olive oil;butter;apples;peanut butter
180,sugar;napkins;pencil;oranges;flour;butter;cakes
181,coffee;eggs;toothpaste;salt
182,cakes;eggs;flour
183,bananas;salt;detergent;eggs;potatoes
184,bananas;milk;olive oil;coffee;kiwi
185,kiwi;toothpaste;apples;potatoes;pens
186,potatoes;oranges;cakes;soap;milk;yogurt;sugar
187,soap;tomatoes;pencil;yogurt;detergent;coffee;butter
188,salt;napkins;bananas;oranges;cakes
189,peanut butter;flour;chocolate;bananas;cereal;juice;eggs
190,kiwi;shampoo;tomatoes;tea;potatoes;apples;grapes
191,juice;peanut butter;tea;chocolate
192,potatoes;cakes;pens;rice;yogurt
193,tomatoes;eggs;cakes
194,potatoes;flour;toothpaste;bread;apples
195,peanut butter;yogurt;oranges;shampoo;tea
196,sugar;pencil;tea;milk;flour;napkins
197,onion;eggs;detergent;kiwi
198,eggs;tea;peanut butter
199,peanut butter;grapes;pens;coffee;onion;milk;apples
200,juice;napkins;pens;shampoo;toothpaste;potatoes
201,tea;flour;onion
202,bread;milk;salt;juice;shampoo;detergent
203,bananas;sugar;soap;flour;grapes;peanut butter;rice
204,milk;tomatoes;toothpaste;potatoes;yogurt;chocolate;cereal
205,onion;milk;chocolate
206,olive oil;butter;pens;tomatoes;milk;detergent
207,peanut butter;coffee;cookies;toothpaste;oranges
208,flour;soap;chocolate
209,soap;apples
210,cookies;toothpaste;chocolate;bread
211,eggs;chocolate;juice;coffee;cookies;cakes
212,salt;flour
213,oranges;toothpaste;napkins;tea;potatoes;salt;cereal
214,milk;bananas
215,sugar;napkins
216,kiwi;cakes
217,milk;eggs;flour;rice;coffee;chocolate
218,pens;potatoes;shampoo;cereal;salt;juice;olive oil
219,pens;butter;bananas;chocolate;cereal
220,shampoo;cakes;chocolate;kiwi;tea
221,soap;butter
222,cookies;toothpaste;tomatoes
223,cereal;grapes;napkins;soap;yogurt;cookies;oranges
224,cereal;oranges;pens;eggs;butter;kiwi
225,cereal;flour;yogurt;eggs;oranges;soap
226,apples;butter;pencil;oranges;toothpaste;napkins
227,rice;cookies;grapes;milk
228,tea;cakes
229,salt;grapes;tomatoes;milk;napkins;oranges
230,pens;cookies;chocolate;bananas;cakes;flour;eggs
231,olive oil;kiwi;shampoo;flour
232,bananas;sugar;flour;salt;apples;grapes
233,soap;pencil;kiwi;napkins;shampoo
234,tomatoes;salt
235,potatoes;oranges;napkins;milk;sugar;salt
236,salt;eggs;sugar;bread;potatoes;flour
237,pencil;kiwi;soap;tea;juice;olive oil
238,cereal;pencil;flour;shampoo;cookies;olive oil;yogurt
239,soap;pens;kiwi;salt;pencil
240,bread;chocolate;potatoes;detergent
241,tomatoes;pencil
242,chocolate;milk
243,juice;coffee;napkins;olive oil;cereal;rice
244,pencil;juice;detergent;potatoes;sugar;toothpaste;rice
245,olive oil;cereal
246,detergent;flour;kiwi
